Sample_Name,Sample_ID,Replicate,Genotype,Stage,Stage_ID,Sample_Group,Date of collection,Date of processing,IAA_processing
X01_MU_REV_filtered,1,1,WT,256c,A,1,20230802,20230927,yes
X02_MU_REV_filtered,2,2,WT,256c,A,2,20230809,20230927,yes
X03_MU_REV_filtered,3,3,WT,256c,A,3,20230810,20230927,yes
X04_MU_REV_filtered,4,1,WT_mir430,256c,A,4,20230815,20230927,yes
X05_MU_REV_filtered,5,2,WT_mir430,256c,A,5,20230817,20230927,yes
X06_MU_REV_filtered,6,3,WT_mir430,256c,A,6,20230825,20230927,yes
X07_MU_REV_filtered,7,1,WT_cdk9,256c,A,7,20230828,20230927,yes
X08_MU_REV_filtered,8,2,WT_cdk9,256c,A,8,20230830,20230927,yes
X09_MU_REV_filtered,9,3,WT_cdk9,256c,A,9,20230831,20230927,yes
X10_MU_REV_filtered,10,1,WT,1024c,B,1,20230802,20230925,yes
X11_MU_REV_filtered,11,2,WT,1024c,B,2,20230809,20230925,yes
X12_MU_REV_filtered,12,3,WT,1024c,B,3,20230810,20230925,yes
X13_MU_REV_filtered,13,1,WT_mir430,1024c,B,4,20230815,20230925,yes
X14_MU_REV_filtered,14,2,WT_mir430,1024c,B,5,20230817,20230925,yes
X15_MU_REV_filtered,15,3,WT_mir430,1024c,B,6,20230825,20230925,yes
X16_MU_REV_filtered,16,1,WT_cdk9,1024c,B,7,20230828,20230925,yes
X17_MU_REV_filtered,17,2,WT_cdk9,1024c,B,8,20230830,20230925,yes
X18_MU_REV_filtered,18,3,WT_cdk9,1024c,B,9,20230831,20230925,yes